"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"15/01/2024";"0000";"19,9";"20,2";"19,8";"96,0";"96,0";"94,0";"19,2";"19,5";"19,1";"888,3";"888,8";"888,3";"1,1";"319,0";"2,8";"";"0,0"
"15/01/2024";"0100";"19,7";"19,9";"19,5";"96,0";"96,0";"95,0";"19,0";"19,3";"18,7";"888,8";"888,8";"888,1";"0,7";"235,0";"2,4";"";"0,0"
"15/01/2024";"0200";"19,3";"19,8";"19,3";"97,0";"97,0";"96,0";"18,8";"19,1";"18,7";"889,6";"889,6";"888,8";"0,6";"209,0";"1,5";"";"0,0"
"15/01/2024";"0300";"19,2";"20,0";"19,2";"96,0";"97,0";"96,0";"18,6";"19,5";"18,6";"889,7";"890,1";"889,5";"0,8";"233,0";"2,7";"";"0,0"
"15/01/2024";"0400";"19,3";"19,6";"19,2";"96,0";"97,0";"96,0";"18,7";"19,0";"18,6";"889,2";"889,7";"889,1";"1,3";"209,0";"2,8";"";"0,0"
"15/01/2024";"0500";"19,4";"19,4";"18,9";"96,0";"96,0";"95,0";"18,6";"18,7";"18,2";"888,8";"889,2";"888,7";"0,8";"171,0";"2,7";"";"0,0"
"15/01/2024";"0600";"19,4";"19,4";"19,3";"96,0";"96,0";"95,0";"18,8";"18,8";"18,6";"888,6";"888,8";"888,5";"0,4";"272,0";"2,3";"";"0,0"
"15/01/2024";"0700";"18,4";"19,4";"18,4";"97,0";"97,0";"96,0";"17,8";"18,7";"17,8";"888,4";"888,6";"888,3";"0,7";"276,0";"1,0";"";"0,0"
"15/01/2024";"0800";"18,4";"18,6";"18,3";"97,0";"98,0";"97,0";"18,0";"18,2";"17,8";"888,6";"888,6";"888,4";"0,4";"330,0";"1,8";"";"0,0"
"15/01/2024";"0900";"18,5";"18,5";"18,2";"98,0";"98,0";"97,0";"18,1";"18,1";"17,8";"889,1";"889,1";"888,6";"0,2";"16,0";"1,4";"";"0,0"
"15/01/2024";"1000";"19,4";"19,4";"18,2";"98,0";"98,0";"98,0";"19,0";"19,0";"17,9";"889,6";"889,7";"889,1";"0,2";"50,0";"0,8";"117,50";"0,0"
"15/01/2024";"1100";"20,9";"21,0";"19,4";"90,0";"98,0";"89,0";"19,1";"19,6";"19,1";"890,2";"890,2";"889,6";"1,1";"127,0";"2,0";"466,90";"0,0"
"15/01/2024";"1200";"23,0";"23,4";"20,8";"82,0";"90,0";"77,0";"19,7";"20,0";"18,6";"890,5";"890,5";"890,2";"1,4";"130,0";"2,7";"1486,70";"0,2"
"15/01/2024";"1300";"24,4";"24,7";"23,1";"73,0";"82,0";"68,0";"19,3";"19,8";"18,0";"891,1";"891,1";"890,5";"1,9";"134,0";"3,4";"2105,10";"0,0"
"15/01/2024";"1400";"25,3";"26,3";"24,4";"65,0";"74,0";"62,0";"18,3";"19,8";"17,8";"890,6";"891,1";"890,6";"1,6";"186,0";"3,5";"2629,30";"0,0"
"15/01/2024";"1500";"27,0";"27,5";"25,3";"61,0";"66,0";"57,0";"18,8";"19,7";"18,0";"889,9";"890,6";"889,9";"2,4";"141,0";"4,4";"2880,30";"0,0"
"15/01/2024";"1600";"22,4";"27,1";"22,4";"64,0";"65,0";"55,0";"15,3";"19,3";"14,5";"889,5";"890,1";"889,5";"2,3";"247,0";"7,4";"1405,40";"0,0"
"15/01/2024";"1700";"24,1";"24,1";"22,0";"63,0";"67,0";"62,0";"16,6";"16,9";"15,0";"888,2";"889,5";"888,2";"0,9";"189,0";"5,2";"896,20";"0,0"
"15/01/2024";"1800";"25,9";"26,0";"24,1";"57,0";"63,0";"53,0";"16,6";"17,3";"14,7";"888,1";"888,4";"888,1";"2,9";"113,0";"4,9";"2152,50";"0,0"
