Titulo1=TabWin:C:\Users\max\Documents\Max\FatorBayesOx\mapas\AM\malariaJUL.tab
[Mapa]
Nomemapa=C:\Users\max\Documents\Max\FatorBayesOx\mapas\AM\13mu2500gc.MAP
Colunamapa=4
NumClasses=4
IndCor=15
Cor0=15790320
Classe0=10
Cor1=12632256
Classe1=30
Cor2=10526880
Classe2=50
Cor3=6316128
Classe3=60
"13mu2500gc.MAP";"casos";"pop";"(casos/pop)";"(casos/pop)*1000"
"Alvarães";454;13010;0,03490;35
"Amaturá";55;8384;0,00656;7
"Anamã";2;8152;0,00025;0
"Anori";0;13834;0,00000;0
"Apuí";37;17451;0,00212;2
"Atalaia do Norte";794;13682;0,05803;58
"Autazes";223;29907;0,00746;7
"Barcelos";190;24567;0,00773;8
"Barreirinha";0;26645;0,00000;0
"Benjamin Constant";153;29268;0,00523;5
"Beruri";69;13809;0,00500;5
"Boa Vista do Ramos";0;13138;0,00000;0
"Boca do Acre";90;29818;0,00302;3
"Borba";347;31098;0,01116;11
"Caapiranga";7;10547;0,00066;1
"Canutama";68;11463;0,00593;6
"Carauari";179;25110;0,00713;7
"Careiro";139;31070;0,00447;4
"Careiro da Várzea";26;23023;0,00113;1
"Coari";848;65222;0,01300;13
"Codajás";10;16025;0,00062;1
"Eirunepé";239;29411;0,00813;8
"Envira";2;16438;0,00012;0
"Fonte Boa";53;19726;0,00269;3
"Guajará";152;14102;0,01078;11
"Humaitá";125;38559;0,00324;3
"Ipixuna";762;17177;0,04436;44
"Iranduba";120;32869;0,00365;4
"Itacoatiara";216;84676;0,00255;3
"Itamarati";40;8087;0,00495;5
"Itapiranga";11;9141;0,00120;1
"Japurá";43;5281;0,00814;8
"Juruá";99;8658;0,01143;11
"Jutaí";40;17129;0,00234;2
"Lábrea";421;36909;0,01141;11
"Manacapuru";115;82309;0,00140;1
"Manaquiri";12;19164;0,00063;1
"Manaus";1882;1646602;0,00114;1
"Manicoré";243;44327;0,00548;5
"Maraã";25;17507;0,00143;1
"Maués";24;47020;0,00051;1
"Nhamundá";43;17553;0,00245;2
"Nova Olinda do Norte";144;29184;0,00493;5
"Novo Airão";30;14630;0,00205;2
"Novo Aripuanã";200;18196;0,01099;11
"Parintins";1;102044;0,00001;0
"Pauini";253;18325;0,01381;14
"Presidente Figueiredo";60;24360;0,00246;2
"Rio Preto da Eva";57;24858;0,00229;2
"Santa Isabel do Rio Negro";25;16921;0,00148;1
"Santo Antônio do Içá";251;29249;0,00858;9
"Silves";154;39130;0,00394;4
"São Gabriel da Cachoeira";462;30727;0,01504;15
"São Paulo de Olivença";11;8731;0,00126;1
"São Sebastião do Uatumã";16;8211;0,00195;2
"Tabatinga";794;45293;0,01753;18
"Tapauá";553;17160;0,03223;32
"Tefé";757;71975;0,01052;11
"Tonantins";7;19439;0,00036;0
"Uarini";240;13729;0,01748;17
"Urucará";0;23422;0,00000;0
"Urucurituba";0;8386;0,00000;0
"Total";12373;0;0,00000;0
