Titulo1=TabWin:C:\Users\max\Documents\Max\FatorBayesOx\mapas\AM\malariaSET.tab
"13mu2500gc.MAP";"casos";"pop";"(casos/pop)";"(casos/pop)*1000"
"Alvarães";223;13445;0,0165861;17
"Amaturá";8;8694;0,0009202;1
"Anamã";4;8483;0,0004715;0
"Anori";0;14386;0,0000000;0
"Apuí";12;18170;0,0006604;1
"Atalaia do Norte";159;14292;0,0111251;11
"Autazes";221;31107;0,0071045;7
"Barcelos";149;25318;0,0058851;6
"Barreirinha";0;27664;0,0000000;0
"Benjamin Constant";6;30476;0,0001969;0
"Beruri";13;14374;0,0009044;1
"Boa Vista do Ramos";0;13677;0,0000000;0
"Boca do Acre";24;30858;0,0007778;1
"Borba";340;32160;0,0105721;11
"Caapiranga";10;10958;0,0009126;1
"Canutama";89;11844;0,0075144;8
"Carauari";185;25950;0,0071291;7
"Careiro";214;32190;0,0066480;7
"Careiro da Várzea";31;24030;0,0012901;1
"Coari";507;67055;0,0075610;8
"Codajás";12;16418;0,0007309;1
"Eirunepé";7;30473;0,0002297;0
"Envira";5;17148;0,0002916;0
"Fonte Boa";22;19783;0,0011121;1
"Guajará";50;14684;0,0034051;3
"Humaitá";41;40027;0,0010243;1
"Ipixuna";78;17850;0,0043697;4
"Iranduba";130;33834;0,0038423;4
"Itacoatiara";267;87896;0,0030377;3
"Itamarati";0;8300;0,0000000;0
"Itapiranga";20;9515;0,0021019;2
"Japurá";36;5025;0,0071642;7
"Juruá";102;9032;0,0112932;11
"Jutaí";55;17337;0,0031724;3
"Lábrea";208;38451;0,0054095;5
"Manacapuru";197;85279;0,0023101;2
"Manaquiri";2;20095;0,0000995;0
"Manaus";1478;1709010;0,0008648;1
"Manicoré";88;45996;0,0019132;2
"Maraã";14;18051;0,0007756;1
"Maués";41;48808;0,0008400;1
"Nhamundá";2;18198;0,0001099;0
"Nova Olinda do Norte";120;30357;0,0039530;4
"Novo Airão";43;15343;0,0028026;3
"Novo Aripuanã";85;18796;0,0045222;5
"Parintins";3;105742;0,0000284;0
"Pauini";20;18938;0,0010561;1
"Presidente Figueiredo";171;25474;0,0067127;7
"Rio Preto da Eva";151;26004;0,0058068;6
"Santa Isabel do Rio Negro";9;17780;0,0005062;1
"Santo Antônio do Içá";198;30176;0,0065615;7
"Silves";148;40806;0,0036269;4
"São Gabriel da Cachoeira";146;32067;0,0045530;5
"São Paulo de Olivença";88;9079;0,0096927;10
"São Sebastião do Uatumã";27;8479;0,0031843;3
"Tabatinga";85;47051;0,0018066;2
"Tapauá";436;19966;0,0218371;22
"Tefé";415;64703;0,0064139;6
"Tonantins";2;19858;0,0001007;0
"Uarini";275;10130;0,0271471;27
"Urucará";27;16035;0,0016838;2
"Urucurituba";0;17971;0,0000000;0
"Total";0;0;0,0000000;0
