Município;Nascim_p_resid_mãe;Nascim_p_ocorrência
130002 ALVARAES;330;292
130006 AMATURA;259;251
130008 ANAMA;180;155
130010 ANORI;238;217
130014 APUI;271;296
130020 ATALAIA DO NORTE;374;291
130030 AUTAZES;856;794
130040 BARCELOS;390;381
130050 BARREIRINHA;815;596
130060 BENJAMIN CONSTANT;959;943
130063 BERURI;507;466
130068 BOA VISTA DO RAMOS;275;258
130070 BOCA DO ACRE;677;524
130080 BORBA;753;565
130083 CAAPIRANGA;217;192
130090 CANUTAMA;175;177
130100 CARAUARI;575;559
130110 CAREIRO;548;401
130115 CAREIRO DA VARZEA;219;18
130120 COARI;1536;1520
130130 CODAJAS;457;426
130140 EIRUNEPE;750;740
130150 ENVIRA;343;335
130160 FONTE BOA;553;552
130165 GUAJARA;286;28
130170 HUMAITA;997;1003
130180 IPIXUNA;395;365
130185 IRANDUBA;918;47
130190 ITACOATIARA;1875;1907
130195 ITAMARATI;260;263
130200 ITAPIRANGA;177;138
130210 JAPURA;173;159
130220 JURUA;210;200
130230 JUTAI;700;689
130240 LABREA;817;794
130250 MANACAPURU;2024;1885
130255 MANAQUIRI;305;197
130260 MANAUS;34707;37381
130270 MANICORE;943;867
130280 MARAA;341;268
130290 MAUES;1286;1280
130300 NHAMUNDA;339;306
130310 NOVA OLINDA DO NORTE;591;722
130320 NOVO AIRAO;267;264
130330 NOVO ARIPUANA;389;373
130340 PARINTINS;1923;2204
130350 PAUINI;348;329
130353 PRESIDENTE FIGUEIREDO;562;341
130356 RIO PRETO DA EVA;394;79
130360 SANTA ISABEL DO RIO NEGRO;328;324
130370 SANTO ANTONIO DO ICA;787;782
130380 SAO GABRIEL DA CACHOEIRA;1454;1435
130390 SAO PAULO DE OLIVENCA;923;910
130395 SAO SEBASTIAO DO UATUMA;180;168
130400 SILVES;191;115
130406 TABATINGA;1516;1605
130410 TAPAUA;444;422
130420 TEFE;1858;1998
130423 TONANTINS;439;425
130426 UARINI;340;316
130430 URUCARA;266;268
130440 URUCURITUBA;305;250
